127.0.0.1 - - [11/Aug/2026 04:48:35] "HEAD /gym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:35] "GET /gym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:35] "GET /assets/css/styleGYM.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:36] "GET /assets/js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:37] "GET /assets/js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:37] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:49:39] "GET /adminMiGym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:27] "GET /adminMiGym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:27] "GET /assets/css/styleGYM.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:27] "GET /assets/js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:27] "GET /assets/js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:27] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/css/Lightbox-Gallery-baguetteBox.min.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/img/wisbelogo.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/js/Lightbox-Gallery-baguetteBox.min.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/css/Asistente%20IA.jpg HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /adminMiGym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/css/styleGYM.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:50:50] "GET /assets/js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/css/Lightbox-Gallery-baguetteBox.min.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/img/wisbelogo.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/js/Lightbox-Gallery-baguetteBox.min.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/css/Asistente%20IA.jpg HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /gym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:16] "GET /assets/css/styleGYM.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:17] "GET /assets/js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:17] "GET /assets/js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:19] "GET /adminMiGym.html HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:19] "GET /assets/css/styleGYM.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:19] "GET /assets/js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:51:20] "GET /assets/js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 04:52:32] "GET /index.html HTTP/1.1" 200 -
